k,home_adv,regress,scale,mov_cap,log_loss,brier
24.0,50.0,0.33,400.0,2.0,0.6652919600763919,0.23491005390821296
24.0,80.0,0.5,400.0,2.5,0.665425541185096,0.23453540025203912
20.0,50.0,0.33,400.0,3.0,0.6654931555483309,0.23479712006405842
24.0,60.0,0.5,400.0,3.0,0.6654933096367533,0.2345897395234052
24.0,70.0,0.5,400.0,3.0,0.6656947325850869,0.23454526862422453
20.0,60.0,0.25,400.0,2.5,0.6660406474767624,0.2350456041140436
24.0,50.0,0.5,400.0,3.0,0.6661586016584813,0.2349977555783115
24.0,60.0,0.4,400.0,2.5,0.6661764666979112,0.2350319338006668
24.0,80.0,0.33,400.0,2.0,0.6661769050562284,0.23504948753256127
20.0,80.0,0.33,400.0,3.0,0.6661901885827158,0.23479160304651844
20.0,70.0,0.25,400.0,2.5,0.6663120701995473,0.2350754751659852
24.0,70.0,0.4,400.0,2.5,0.6664236233684615,0.23502662018523682
20.0,50.0,0.25,400.0,2.5,0.6666103396545723,0.23536976290470532
24.0,80.0,0.5,400.0,3.0,0.6667505646121058,0.23485244450066878
24.0,50.0,0.4,400.0,2.5,0.6667834131460105,0.23539609515199175
24.0,60.0,0.25,400.0,2.0,0.6669600284933741,0.23549882127772748
24.0,70.0,0.25,400.0,2.0,0.6672517156292213,0.23553388384988033
20.0,60.0,0.25,400.0,3.0,0.6672635192494378,0.23539242584894204
20.0,80.0,0.25,400.0,2.5,0.6674156032019307,0.23544842927994378
20.0,70.0,0.25,400.0,3.0,0.6674944258018619,0.2353808333469934
24.0,50.0,0.25,400.0,2.0,0.6675076329974172,0.23581656629144987
24.0,80.0,0.4,400.0,2.5,0.66751198687905,0.23536765494660766
24.0,60.0,0.4,400.0,3.0,0.6677697957197579,0.2355073147871181
20.0,50.0,0.25,400.0,3.0,0.6678877387924751,0.2357589046907377
24.0,70.0,0.4,400.0,3.0,0.6679643280810635,0.23544931748696185
24.0,60.0,0.33,400.0,2.5,0.6680169747723079,0.23577156584458103
24.0,70.0,0.33,400.0,2.5,0.668259390180607,0.2357555597945142
24.0,80.0,0.25,400.0,2.0,0.6683722676324622,0.2359103524435517
24.0,50.0,0.4,400.0,3.0,0.668444124649528,0.23592441683647525
20.0,80.0,0.25,400.0,3.0,0.668572168987314,0.23571366334506966
24.0,50.0,0.33,400.0,2.5,0.6686286757631299,0.23614188358174806
24.0,80.0,0.4,400.0,3.0,0.6690156808019323,0.23573866547238437
24.0,80.0,0.33,400.0,2.5,0.6693436481038239,0.2360819429582574
24.0,60.0,0.33,400.0,3.0,0.6697348125198337,0.23628005298105453
24.0,70.0,0.33,400.0,3.0,0.6699254050318487,0.2362119883019966
24.0,50.0,0.33,400.0,3.0,0.6704150508333647,0.23670349728480594
24.0,60.0,0.25,400.0,2.5,0.6705140534254813,0.23674968473714514
24.0,70.0,0.25,400.0,2.5,0.6707535158700683,0.23672188570891423
24.0,80.0,0.33,400.0,3.0,0.6709768831950219,0.23648873967036532
24.0,50.0,0.25,400.0,2.5,0.6711303604964838,0.23712712912821224
24.0,80.0,0.25,400.0,2.5,0.671834017071472,0.23703065908172577
24.0,60.0,0.25,400.0,3.0,0.6723769484266383,0.2372926231626439
24.0,70.0,0.25,400.0,3.0,0.672565622504249,0.23721384129055195
24.0,50.0,0.25,400.0,3.0,0.6730615149584186,0.23772272223467136
24.0,80.0,0.25,400.0,3.0,0.6736155653082945,0.23747442376870195
